loan_id,customer_id,product_type,loan_amount,interest_rate,tenor_months,ltv_ratio,monthly_installment,origination_date,branch_id,sales_agent_id
LOAN000001,CUST000419,Property,120085076,0.09751135597414444,174,0.8533616461642574,1291743.2043632392,2024-04-19 07:16:19.760874,19,87
LOAN000002,CUST000510,Auto,55231849,0.08064256219728203,30,0.9,2039036.6138550919,2024-07-16 07:16:19.760874,3,47
LOAN000003,CUST000372,Property,107782460,0.1005451488940476,78,0.9,1887785.6508743707,2023-01-20 07:16:19.760874,4,29
LOAN000004,CUST000743,Motorcycle,17992407,0.11802951906541301,36,0.8103014737956444,595913.4568591097,2023-10-08 07:16:19.760874,13,51
LOAN000005,CUST000786,Motorcycle,47445542,0.1784473939091346,12,0.9,4346301.942934346,2024-12-05 07:16:19.760874,2,41
LOAN000006,CUST000766,Property,108314071,0.08233302106564377,126,0.9,1286863.450561634,2022-04-22 07:16:19.760874,11,86
LOAN000007,CUST000724,Auto,89066729,0.07991456643973362,42,0.8852847475159474,2438023.4777061795,2024-06-23 07:16:19.760874,16,64
LOAN000008,CUST000202,Motorcycle,49970080,0.17091714139170938,30,0.870659516001412,2058456.9013371791,2022-07-27 07:16:19.760874,10,88
LOAN000009,CUST000338,Motorcycle,28133909,0.14026616783371398,18,0.9,1742266.7940398366,2024-01-03 07:16:19.760874,15,48
LOAN000010,CUST000462,Auto,131294547,0.09086130321730515,48,0.830626020472515,3272642.640548714,2023-12-09 07:16:19.760874,10,77
LOAN000011,CUST000330,Property,102862920,0.06769140768708444,138,0.8017965621891748,1074769.7723257618,2025-01-23 07:16:19.760874,2,97
LOAN000012,CUST000757,Property,129183743,0.07009376776622743,84,0.8611699706608554,1950321.0936336848,2023-11-03 07:16:19.760874,6,22
LOAN000013,CUST000328,Auto,113749881,0.13064760765175243,54,0.9,2797145.24702111,2025-01-20 07:16:19.760874,14,99
LOAN000014,CUST000135,Auto,97628035,0.10979838814578959,12,0.8687350302185792,8627609.564297047,2022-06-08 07:16:19.760874,2,17
LOAN000015,CUST000397,Motorcycle,48713083,0.14172269362793907,18,0.8258593017087212,3020012.845556912,2022-10-09 07:16:19.760874,10,86
LOAN000016,CUST000980,Auto,159691410,0.15154108659140064,54,0.8834230448794411,4097229.6087988666,2022-04-11 07:16:19.760874,17,5
LOAN000017,CUST000224,Motorcycle,20258336,0.12200475100306385,18,0.8783525085535817,1237282.2217676383,2023-11-23 07:16:19.760874,8,61
LOAN000018,CUST000606,Auto,87793181,0.05616042687440239,36,0.8098755137451242,2655591.803162018,2022-08-10 07:16:19.760874,16,89
LOAN000019,CUST000426,Motorcycle,47527274,0.16816540953372494,12,0.8768886448853686,4330576.4156322675,2022-07-01 07:16:19.760874,14,6
LOAN000020,CUST000066,Auto,160674125,0.11916783903234228,36,0.9,5330296.322517732,2023-02-06 07:16:19.760874,10,53
LOAN000021,CUST000480,Auto,73932004,0.09730760290454496,36,0.8942234056591148,2376243.25041662,2023-10-16 07:16:19.760874,13,81
LOAN000022,CUST000703,Motorcycle,23633087,0.1671630062490296,30,0.871509466397292,969204.6781793955,2022-12-18 07:16:19.760874,1,95
LOAN000023,CUST000505,Motorcycle,9993031,0.18102958249205464,36,0.8056992100689498,361788.3480692083,2023-06-14 07:16:19.760874,10,17
LOAN000024,CUST000869,Property,274165965,0.0977901121933423,168,0.8614797807279394,3002027.01068675,2024-08-16 07:16:19.760874,12,59
LOAN000025,CUST000287,Property,105733184,0.0748401901065092,162,0.9,1038853.4689282175,2022-07-22 07:16:19.760874,17,97
LOAN000026,CUST000081,Auto,52318041,0.0991055914631472,48,0.7948579439212105,1324674.5700014944,2023-01-30 07:16:19.760874,14,39
LOAN000027,CUST000933,Auto,91821061,0.10143697018410887,30,0.9,3478021.807738986,2022-07-04 07:16:19.760874,5,54
LOAN000028,CUST000380,Property,151019505,0.08079122682759175,102,0.9,2051482.1870936803,2024-09-11 07:16:19.760874,19,48
LOAN000029,CUST000564,Property,109456089,0.07710082914136138,156,0.9,1113125.9277169786,2023-05-23 07:16:19.760874,5,37
LOAN000030,CUST000793,Property,116234271,0.07195911482746482,114,0.9,1410442.9376603467,2024-02-21 07:16:19.760874,15,48
LOAN000031,CUST000324,Auto,59372520,0.11262448713943567,54,0.8244371272283562,1406585.0885180868,2024-11-15 07:16:19.760874,13,68
LOAN000032,CUST000718,Property,106366304,0.0812140311162255,78,0.8774055957213459,1759631.186532732,2023-03-16 07:16:19.760874,17,78
LOAN000033,CUST000132,Auto,200325270,0.07946749034231643,24,0.8415013363486219,9055304.884264315,2024-05-23 07:16:19.760874,1,77
LOAN000034,CUST000289,Motorcycle,8948026,0.15591355005368102,18,0.8758075525155232,560714.1804807499,2023-05-25 07:16:19.760874,14,27
LOAN000035,CUST000143,Property,104130263,0.0733420012989823,162,0.9,1014475.7855805068,2024-01-23 07:16:19.760874,4,88
