loan_id,payment_date,mob,amount_due,amount_paid,payment_status,dpd
LOAN000001,2024-05-19,1,1291743.2043632392,1210554.181839727,Partial,27
LOAN000001,2024-06-18,2,1291743.2043632392,1291743.2043632392,Paid,0
LOAN000001,2024-07-18,3,1291743.2043632392,1291743.2043632392,Paid,0
LOAN000002,2024-08-15,1,2039036.6138550919,1740714.5329458348,Partial,16
LOAN000002,2024-09-14,2,2039036.6138550919,228734.06187583235,Partial,35
LOAN000002,2024-10-14,3,2039036.6138550919,637063.5871304204,Partial,78
LOAN000003,2023-02-19,1,1887785.6508743707,1887785.6508743707,Paid,0
LOAN000003,2023-03-21,2,1887785.6508743707,1887785.6508743707,Paid,0
LOAN000003,2023-04-20,3,1887785.6508743707,1822996.3347175145,Partial,7
LOAN000004,2023-11-07,1,595913.4568591097,440860.6986090697,Partial,10
LOAN000004,2023-12-07,2,595913.4568591097,185488.33079020772,Partial,33
LOAN000004,2024-01-06,3,595913.4568591097,289588.4006295893,Partial,71
LOAN000005,2025-01-04,1,4346301.942934346,4346301.942934346,Paid,0
LOAN000005,2025-02-03,2,4346301.942934346,4346301.942934346,Paid,0
LOAN000005,2025-03-05,3,4346301.942934346,4346301.942934346,Paid,0
LOAN000006,2022-05-22,1,1286863.450561634,167332.57802981726,Partial,45
LOAN000006,2022-06-21,2,1286863.450561634,123500.23742655384,Partial,39
LOAN000006,2022-07-21,3,1286863.450561634,652509.1244182753,Partial,30
LOAN000007,2024-07-23,1,2438023.4777061795,2438023.4777061795,Paid,0
LOAN000007,2024-08-22,2,2438023.4777061795,493384.95103880326,Partial,30
LOAN000007,2024-09-21,3,2438023.4777061795,329443.0883667552,Partial,35
LOAN000008,2022-08-26,1,2058456.9013371791,2058456.9013371791,Paid,0
LOAN000008,2022-09-25,2,2058456.9013371791,2058456.9013371791,Paid,0
LOAN000008,2022-10-25,3,2058456.9013371791,2058456.9013371791,Paid,0
LOAN000009,2024-02-02,1,1742266.7940398366,1742266.7940398366,Paid,0
LOAN000009,2024-03-03,2,1742266.7940398366,1683548.0448677046,Partial,25
LOAN000009,2024-04-02,3,1742266.7940398366,1016195.3749277446,Partial,38
LOAN000010,2024-01-08,1,3272642.640548714,2618146.810795459,Partial,15
LOAN000010,2024-02-07,2,3272642.640548714,356799.31362127163,Partial,36
LOAN000010,2024-03-08,3,3272642.640548714,1286132.7659220563,Partial,49
LOAN000011,2025-02-22,1,1074769.7723257618,891304.425466591,Partial,9
LOAN000011,2025-03-24,2,1074769.7723257618,352287.10755934904,Partial,44
LOAN000011,2025-04-23,3,1074769.7723257618,44017.20248991774,Partial,66
LOAN000012,2023-12-03,1,1950321.0936336848,1950321.0936336848,Paid,0
LOAN000012,2024-01-02,2,1950321.0936336848,1950321.0936336848,Paid,0
LOAN000012,2024-02-01,3,1950321.0936336848,1511927.1249206357,Partial,5
LOAN000013,2025-02-19,1,2797145.24702111,2797145.24702111,Paid,0
LOAN000013,2025-03-21,2,2797145.24702111,2797145.24702111,Paid,0
LOAN000013,2025-04-20,3,2797145.24702111,2797145.24702111,Paid,0
LOAN000014,2022-07-08,1,8627609.564297047,4504136.182977481,Partial,51
LOAN000014,2022-08-07,2,8627609.564297047,5547377.244859452,Partial,45
LOAN000014,2022-09-06,3,8627609.564297047,4813298.829721229,Partial,39
LOAN000015,2022-11-08,1,3020012.845556912,3020012.845556912,Paid,0
LOAN000015,2022-12-08,2,3020012.845556912,3020012.845556912,Paid,0
LOAN000015,2023-01-07,3,3020012.845556912,3020012.845556912,Paid,0
LOAN000016,2022-05-11,1,4097229.6087988666,4097229.6087988666,Paid,0
LOAN000016,2022-06-10,2,4097229.6087988666,4097229.6087988666,Paid,0
LOAN000016,2022-07-10,3,4097229.6087988666,4097229.6087988666,Paid,0
LOAN000017,2023-12-23,1,1237282.2217676383,1020362.4471250086,Partial,28
LOAN000017,2024-01-22,2,1237282.2217676383,1237282.2217676383,Paid,0
LOAN000017,2024-02-21,3,1237282.2217676383,1237282.2217676383,Paid,0
LOAN000018,2022-09-09,1,2655591.803162018,2655591.803162018,Paid,0
LOAN000018,2022-10-09,2,2655591.803162018,2655591.803162018,Paid,0
LOAN000018,2022-11-08,3,2655591.803162018,2655591.803162018,Paid,0
LOAN000019,2022-07-31,1,4330576.4156322675,3326602.4646463874,Partial,27
LOAN000019,2022-08-30,2,4330576.4156322675,4330576.4156322675,Paid,0
LOAN000019,2022-09-29,3,4330576.4156322675,4330576.4156322675,Paid,0
LOAN000020,2023-03-08,1,5330296.322517732,5330296.322517732,Paid,0
LOAN000020,2023-04-07,2,5330296.322517732,4833746.5886331815,Partial,23
LOAN000020,2023-05-07,3,5330296.322517732,1522708.1700454121,Partial,39
LOAN000021,2023-11-15,1,2376243.25041662,2376243.25041662,Paid,0
LOAN000021,2023-12-15,2,2376243.25041662,2376243.25041662,Paid,0
LOAN000021,2024-01-14,3,2376243.25041662,2156091.7826849343,Partial,4
LOAN000022,2023-01-17,1,969204.6781793955,969204.6781793955,Paid,0
LOAN000022,2023-02-16,2,969204.6781793955,969204.6781793955,Paid,0
LOAN000022,2023-03-18,3,969204.6781793955,969204.6781793955,Paid,0
LOAN000023,2023-07-14,1,361788.3480692083,361788.3480692083,Paid,0
LOAN000023,2023-08-13,2,361788.3480692083,361788.3480692083,Paid,0
LOAN000023,2023-09-12,3,361788.3480692083,361788.3480692083,Paid,0
LOAN000024,2024-09-15,1,3002027.01068675,3002027.01068675,Paid,0
LOAN000024,2024-10-15,2,3002027.01068675,3002027.01068675,Paid,0
LOAN000024,2024-11-14,3,3002027.01068675,3002027.01068675,Paid,0
LOAN000025,2022-08-21,1,1038853.4689282175,1038853.4689282175,Paid,0
LOAN000025,2022-09-20,2,1038853.4689282175,792007.03133912,Partial,19
LOAN000025,2022-10-20,3,1038853.4689282175,913468.6738551784,Partial,22
